Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_raw,tfall_raw,ok_clipped,tfall_clipped
5.4784675,17.096956,-13.929859,9.775229,12.87168,-28.837942,42.7678,1,6.0,1,6.0,1,6.0
-9.208531,18.717047,-75.285324,14.075036,3.3993073,-15.588903,90.87423,1,6.0,1,6.0,1,6.0
-18.36106,-19.411747,-85.87534,-14.442733,-0.9364631,-32.220123,118.09547,1,6.0,0,1.832,1,6.0
-19.338894,14.545604,-32.993816,8.151431,-9.753999,-63.117847,96.111664,1,6.0,1,6.0,1,6.0
12.530809,19.2478,-28.538147,12.844124,-17.093666,-42.42779,70.96594,0,1.6480000000000001,1,6.0,1,6.0
16.510223,18.288406,-83.29471,19.273132,-19.284344,-43.658752,126.95346,0,1.098,0,1.326,0,1.766
4.265431,-14.049439,-60.44427,13.751622,3.1988072,-6.3433914,66.78766,1,6.0,1,6.0,1,6.0
9.179862,18.905153,-8.974423,-3.0357406,-12.355589,-61.23258,70.207,1,6.0,1,6.0,1,6.0
1.7449996,15.597423,-43.859924,19.187548,19.021318,-83.521736,127.38166,0,1.288,1,6.0,1,6.0
17.402897,12.894953,-42.16641,18.959375,-15.700911,-12.30671,54.473118,0,1.362,1,6.0,1,6.0
12.634142,-0.80048305,-80.58702,0.14707917,-1.9164485,-10.52715,91.114174,1,6.0,1,6.0,1,6.0
-19.89046,-10.705083,-47.397774,10.137861,-4.2136083,-95.17344,142.57121,1,6.0,0,3.454,1,6.0
14.296171,12.075223,-47.65653,16.553507,-10.7075405,-80.1776,127.83412,0,1.166,1,6.0,1,6.0
-18.656576,16.941206,-91.10644,-0.9541171,9.950229,-36.371635,127.47807,0,2.736,0,1.608,0,2.532
9.186218,-9.354789,-1.8057307,14.55145,5.7481904,-21.115484,22.921215,1,6.0,1,6.0,1,6.0
-12.973775,1.5573763,-42.86044,8.062742,9.030308,-39.33075,82.19119,1,6.0,1,6.0,1,6.0
14.527157,-2.289887,-99.35911,-8.24303,-16.687656,-80.84108,180.2002,1,6.0,0,1.964,1,6.0
1.6584488,17.240692,-22.73508,10.706091,-5.8902636,-88.23584,110.97092,1,6.0,1,6.0,1,6.0
-8.011524,-18.379572,-2.1734285,2.8273914,0.793323,-49.402737,51.576164,1,6.0,1,6.0,1,6.0
